board,method,W,n_chunks,bytes_in,bytes_out,compression_ratio,encode_us_mean,encode_us_p95,decode_us_mean,decode_us_p95,encode_ms_mean,encode_ms_p95,decode_ms_mean,decode_ms_p95,throughput_bytes_per_sec,ram_bytes,flash_bytes,model_size_kb,energy_status,profile_status,backend,model_path,notes,source_file
esp32,delta_int16,16,128,53248.0,53248.0,1.0,64.636,64.688,19.087,19.398,0.064636,0.064688,0.019087,0.019398,823813354.7868062,2496.0,324416.0,,not_measured_proxy_only,ok,arduino_cpp,,energy_status=not_measured_proxy_only;checksum=31372;bytes_sink=6602752,esp32_profile_final.csv
esp32,raw_copy,16,128,53248.0,53248.0,1.0,57.781,57.828,11.229,11.453,0.057781,0.057828000000000004,0.011229,0.011453,921548605.94313,2496.0,324416.0,,not_measured_proxy_only,ok,arduino_cpp,,energy_status=not_measured_proxy_only;checksum=-39400;bytes_sink=3301376,esp32_profile_final.csv
esp32,simple_predictor_pack,16,128,53248.0,49961.0,1.065791,71.579,71.656,19.495,19.711,0.07157899999999999,0.07165600000000001,0.019495000000000002,0.019711,743905335.363724,2496.0,324416.0,,not_measured_proxy_only,ok,arduino_cpp,,energy_status=not_measured_proxy_only;checksum=-39400;bytes_sink=9802231,esp32_profile_final.csv
esp32,tflite_micro_encoder_int8,16,128,53248.0,1040.0,51.200001,1735.04,1780.0,0.0,0.0,1.73504,1.78,0.0,0.0,30689782.368129842,98304.0,18904.0,,not_measured_proxy_only,ok,tflite_micro,,energy_status=not_measured_proxy_only; encoder_only=true; tensor_arena_bytes=98304,esp32_tflm_profile_final.csv
raspberry_pi_4,delta_int16,16,128,53248.0,54272.0,0.981132075471698,49.4754661370204,59.9661996147915,84.0553619809725,102.0055995013535,0.0494754661370204,0.0599661996147915,0.0840553619809725,0.1020055995013535,8408207.794301605,424.0,,0.0,not_measured_proxy_only,ok,python_cpu,,sha256=38b8226ea21c67925be408f3fcf0a84d2b47d320faa0ff6ccdb75e922b6ab709,t5_pi4_profile.csv
raspberry_pi_4,lz4,16,128,53248.0,52271.0,1.0186910523999924,6.0811849067476,6.7932998717878,3.9786640423737,4.3340004140191,0.0060811849067476,0.0067932998717878,0.0039786640423737,0.0043340004140191,68407720.92596717,438.0,,0.0,not_measured_proxy_only,ok,python_cpu,,sha256=38b8226ea21c67925be408f3fcf0a84d2b47d320faa0ff6ccdb75e922b6ab709,t5_pi4_profile.csv
raspberry_pi_4,onnx_fc_ae_eps_W16_z32_seed2,16,128,53248.0,,,233.451378882421,288.2740000131889,,,0.233451378882421,0.2882740000131889,,,3563911.2691599946,,,711.208984375,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/fc_ae_eps_W16_z32_seed2.onnx,full_forward_pass; input_shape=1x16x13; timed_calls=256,t5_pi4_profile.csv
raspberry_pi_4,onnx_tcn_ae_eps_W16_z8_seed3,16,128,53248.0,,,161.0439296690913,184.2622500589641,,,0.1610439296690913,0.1842622500589641,,,5166292.214239748,,,138.3359375,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/tcn_ae_eps_W16_z8_seed3.onnx,full_forward_pass; input_shape=1x16x13; timed_calls=256,t5_pi4_profile.csv
raspberry_pi_4,onnx_weighted_fc_ae_eps_W16_z32_seed2,16,128,53248.0,,,239.1433789163954,313.3072500531852,,,0.2391433789163954,0.3133072500531852,,,3479084.40438515,,,711.208984375,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/weighted_fc_ae_eps_W16_z32_seed2.onnx,full_forward_pass; input_shape=1x16x13; timed_calls=256,t5_pi4_profile.csv
raspberry_pi_4,raw,16,128,53248.0,53248.0,1.0,0.2783385871415,0.3149998519802,0.2528046654977,0.2779997885227,0.0002783385871415,0.0003149998519802,0.0002528046654977,0.0002779997885227,1494582566.7660737,416.0,,0.0,not_measured_proxy_only,ok,python_cpu,,sha256=38b8226ea21c67925be408f3fcf0a84d2b47d320faa0ff6ccdb75e922b6ab709,t5_pi4_profile.csv
