rank,result_type,data_scope,method,W,latent_dim,safe_pass,compression_ratio_mean,encode_ms_mean,model_size_kb
1,lossless_baseline,lossless_baseline,zstd_level_9,64,,true,2.633514154267603,35.281040998597746,
2,lossless_baseline,lossless_baseline,zstd_level_3,64,,true,2.562528572332839,4.754248006975104,
3,lossless_baseline,lossless_baseline,zstd_level_1,64,,true,2.5192078988854165,3.137181002784928,
4,lossless_baseline,lossless_baseline,zstd_level_9,32,,true,2.398533318954108,23.05115899980592,
5,lossless_baseline,lossless_baseline,zstd_level_3,32,,true,2.34397784867734,3.969875995608163,
6,lossless_baseline,lossless_baseline,zstd_level_1,32,,true,2.313237518910741,3.649926005891757,
7,lossless_baseline,lossless_baseline,zstd_level_9,16,,true,2.192593299494808,24.635362984554376,
8,lossless_baseline,lossless_baseline,zstd_level_3,16,,true,2.146302729528536,6.1920919970361865,
9,lossless_baseline,lossless_baseline,zstd_level_1,16,,true,2.113916698773426,5.809987997054122,
10,lossless_baseline,lossless_baseline,zstd_level_9,8,,true,1.9681899046759248,102.96021900376218,
11,lossless_baseline,lossless_baseline,lz4,64,,true,1.95650399518859,1.6059210011007965,
12,lossless_baseline,lossless_baseline,zstd_level_3,8,,true,1.93278888575988,18.11282899689104,
13,lossless_baseline,lossless_baseline,zstd_level_1,8,,true,1.8648579292438827,14.019573009136366,
14,lossless_baseline,lossless_baseline,lz4,32,,true,1.8230421293961887,1.5304290036510793,
15,lossless_baseline,lossless_baseline,lz4,16,,true,1.7089859276718595,1.5674970009058595,
16,lossless_baseline,lossless_baseline,lz4,8,,true,1.5712792770639945,1.7304639968642732,
17,lossless_baseline,lossless_baseline,raw,64,,true,1.0,0.0097829988590092,
18,lossless_baseline,lossless_baseline,raw,32,,true,1.0,0.0129330064737587,
19,lossless_baseline,lossless_baseline,raw,16,,true,1.0,0.0233200034926994,
20,lossless_baseline,lossless_baseline,raw,8,,true,1.0,0.0471029879918205,
21,lossless_baseline,lossless_baseline,delta_int16,64,,true,0.9761879563975024,1.184507997095352,
22,lossless_baseline,lossless_baseline,delta_int16,32,,true,0.9535219995868622,2.122824996149575,
23,lossless_baseline,lossless_baseline,delta_int16,16,,true,0.9113125739061884,3.4521760026109405,
24,lossless_baseline,lossless_baseline,delta_int16,8,,true,0.8375451263537906,12.25538800281356,
25,lossless_baseline,lossless_baseline,delta_rice,32,,true,0.0680232375470209,6887.922388998959,
26,lossless_baseline,lossless_baseline,delta_rice,64,,true,0.0679649438122601,6871.549120003692,
27,lossless_baseline,lossless_baseline,delta_rice,16,,true,0.0676800533769697,6780.2553379997335,
28,lossless_baseline,lossless_baseline,delta_rice,8,,true,0.0671699245765587,9208.750700990096,
29,lossless_baseline,lossless_baseline,ccsds124_proxy_delta_rice,32,,true,0.0374852888382713,12600.452453999424,
30,lossless_baseline,lossless_baseline,ccsds124_proxy_delta_rice,64,,true,0.0374270779178822,12528.198028006957,
31,lossless_baseline,lossless_baseline,ccsds124_proxy_delta_rice,16,,true,0.0373774209195225,12135.012804997132,
32,lossless_baseline,lossless_baseline,ccsds124_proxy_delta_rice,8,,true,0.0372481214130768,18896.629965996908,
33,learned_compression,eps_only,fc_ae,64,4,false,208.0,0.23247,1952.377
34,learned_compression,eps_only,weighted_fc_ae,64,4,false,208.0,0.23475667,1952.377
35,learned_compression,eps_only,fc_ae,64,4,false,208.0,0.23760333,1952.377
36,learned_compression,eps_only,weighted_fc_ae,64,4,false,208.0,0.23939333,1952.377
37,learned_compression,eps_only,fc_ae,64,4,false,208.0,0.25422667,1952.377
38,learned_compression,eps_only,weighted_fc_ae,64,4,false,208.0,0.34901333,1952.377
39,learned_compression,eps_only,tcn_ae,64,4,false,208.0,1.00317333,219.252
40,learned_compression,eps_only,tcn_ae,64,4,false,208.0,1.00596667,219.252
41,learned_compression,eps_only,tcn_ae,64,4,false,208.0,1.02573,219.252
42,learned_compression,eps_only,weighted_fc_ae,16,4,false,144.0,0.43245333,1494.752
43,learned_compression,eps_only,fc_ae,16,4,false,144.0,0.46063,1494.752
44,learned_compression,eps_only,weighted_fc_ae,64,8,false,104.0,0.22852333,1956.377
45,learned_compression,eps_only,weighted_fc_ae,64,8,false,104.0,0.23364333,1956.377
46,learned_compression,eps_only,weighted_fc_ae,64,8,false,104.0,0.23828,1956.377
47,learned_compression,eps_only,fc_ae,64,8,false,104.0,0.24071667,1956.377
48,learned_compression,eps_only,fc_ae,64,8,false,104.0,0.24610667,1956.377
49,learned_compression,eps_only,fc_ae,64,8,false,104.0,0.24679,1956.377
50,learned_compression,eps_only,weighted_fc_ae,32,4,false,104.0,0.26667,1137.002
51,learned_compression,eps_only,weighted_fc_ae,32,4,false,104.0,0.27767,1137.002
52,learned_compression,eps_only,fc_ae,32,4,false,104.0,0.33311333,1137.002
53,learned_compression,eps_only,weighted_fc_ae,32,4,false,104.0,0.34293667,1137.002
54,learned_compression,eps_only,fc_ae,32,4,false,104.0,0.34411,1137.002
55,learned_compression,eps_only,fc_ae,32,4,false,104.0,0.38217667,1137.002
56,learned_compression,eps_only,tcn_ae,64,8,false,104.0,0.95265667,323.252
57,learned_compression,eps_only,tcn_ae,64,8,false,104.0,0.96475,323.252
58,learned_compression,eps_only,tcn_ae,64,8,false,104.0,1.00184667,323.252
59,learned_compression,eps_only,tcn_ae,32,4,false,104.0,1.05219333,179.002
60,learned_compression,eps_only,tcn_ae,32,4,false,104.0,1.11335333,179.002
61,learned_compression,eps_only,tcn_ae,32,4,false,104.0,1.16865,179.002
62,learned_compression,eps_only,weighted_fc_ae,16,8,false,72.0,0.43721667,1498.752
63,learned_compression,eps_only,fc_ae,16,8,false,72.0,0.47650667,1498.752
64,learned_compression,eps_only,weighted_fc_ae,64,16,false,52.0,0.23172333,1964.377
65,learned_compression,eps_only,fc_ae,64,16,false,52.0,0.2504,1964.377
66,learned_compression,eps_only,fc_ae,64,16,false,52.0,0.27125,1964.377
67,learned_compression,eps_only,weighted_fc_ae,64,16,false,52.0,0.29364333,1964.377
68,learned_compression,eps_only,fc_ae,64,16,false,52.0,0.29834667,1964.377
